time,price
09:15:30.0000000000,910700
09:16:00.0000000000,908350
09:16:30.0000000000,910845
09:17:00.0000000000,912070
09:17:30.0000000000,911715
09:18:00.0000000000,909135
09:18:30.0000000000,906835
09:19:00.0000000000,906190
09:19:30.0000000000,905490
09:20:00.0000000000,904300
09:20:30.0000000000,903340
09:21:00.0000000000,901255
09:21:30.0000000000,899615
09:22:00.0000000000,898660
09:22:30.0000000000,901260
09:23:00.0000000000,901850
09:23:30.0000000000,899605
09:24:00.0000000000,900385
09:24:30.0000000000,899755
09:25:00.0000000000,899650
09:25:30.0000000000,899935
09:26:00.0000000000,901390
09:26:30.0000000000,904080
09:27:00.0000000000,903240
09:27:30.0000000000,902025
09:28:00.0000000000,902110
09:28:30.0000000000,902495
09:29:00.0000000000,901565
09:29:30.0000000000,899380
09:30:00.0000000000,898560
09:30:30.0000000000,897200
09:31:00.0000000000,896705
09:31:30.0000000000,898635
09:32:00.0000000000,899515
09:32:30.0000000000,898660
09:33:00.0000000000,897135
09:33:30.0000000000,895280
09:34:00.0000000000,894415
09:34:30.0000000000,895130
09:35:00.0000000000,895250
09:35:30.0000000000,896260
09:36:00.0000000000,897455
09:36:30.0000000000,898215
09:37:00.0000000000,898065
09:37:30.0000000000,896995
09:38:00.0000000000,895450
09:38:30.0000000000,895170
09:39:00.0000000000,894075
09:39:30.0000000000,895270
09:40:00.0000000000,894965
09:40:30.0000000000,895960
09:41:00.0000000000,897115
09:41:30.0000000000,898405
09:42:00.0000000000,897700
09:42:30.0000000000,896215
09:43:00.0000000000,895505
09:43:30.0000000000,895680
09:44:00.0000000000,895235
09:44:30.0000000000,894915
09:45:00.0000000000,895315
09:45:30.0000000000,894460
09:46:00.0000000000,893695
09:46:30.0000000000,892720
09:47:00.0000000000,891650
09:47:30.0000000000,891455
09:48:00.0000000000,893020
09:48:30.0000000000,892550
09:49:00.0000000000,892435
09:49:30.0000000000,891860
09:50:00.0000000000,891655
09:50:30.0000000000,889615
09:51:00.0000000000,889905
09:51:30.0000000000,889390
09:52:00.0000000000,890645
09:52:30.0000000000,891930
09:53:00.0000000000,892220
09:53:30.0000000000,893080
09:54:00.0000000000,892040
09:54:30.0000000000,891940
09:55:00.0000000000,890920
09:55:30.0000000000,890880
09:56:00.0000000000,891210
09:56:30.0000000000,890685
09:57:00.0000000000,888885
09:57:30.0000000000,886805
09:58:00.0000000000,886455
09:58:30.0000000000,886125
09:59:00.0000000000,885610
09:59:30.0000000000,885100
10:00:00.0000000000,883985
10:00:30.0000000000,882925
10:01:00.0000000000,884790
10:01:30.0000000000,885715
10:02:00.0000000000,887035
10:02:30.0000000000,885825
10:03:00.0000000000,884950
10:03:30.0000000000,884370
10:04:00.0000000000,885130
10:04:30.0000000000,886675
10:05:00.0000000000,886475
10:05:30.0000000000,886065
10:06:00.0000000000,885520
10:06:30.0000000000,885655
10:07:00.0000000000,886450
10:07:30.0000000000,888730
10:08:00.0000000000,887875
10:08:30.0000000000,886705
10:09:00.0000000000,885605
10:09:30.0000000000,884160
10:10:00.0000000000,883945
10:10:30.0000000000,884375
10:11:00.0000000000,885855
10:11:30.0000000000,883930
10:12:00.0000000000,883565
10:12:30.0000000000,882995
10:13:00.0000000000,884160
10:13:30.0000000000,884985
10:14:00.0000000000,884320
10:14:30.0000000000,884735
10:15:00.0000000000,883350
10:15:30.0000000000,882890
10:16:00.0000000000,882285
10:16:30.0000000000,881135
10:17:00.0000000000,881500
10:17:30.0000000000,882260
10:18:00.0000000000,883050
10:18:30.0000000000,884170
10:19:00.0000000000,884360
10:19:30.0000000000,883610
10:20:00.0000000000,883840
10:20:30.0000000000,885395
10:21:00.0000000000,885405
10:21:30.0000000000,886560
10:22:00.0000000000,886940
10:22:30.0000000000,888180
10:23:00.0000000000,888495
10:23:30.0000000000,888975
10:24:00.0000000000,889060
10:24:30.0000000000,890460
10:25:00.0000000000,891855
10:25:30.0000000000,893505
10:26:00.0000000000,892435
10:26:30.0000000000,890315
10:27:00.0000000000,890970
10:27:30.0000000000,890935
10:28:00.0000000000,891755
10:28:30.0000000000,891320
10:29:00.0000000000,891975
10:29:30.0000000000,891675
10:30:00.0000000000,890850
10:30:30.0000000000,889685
10:31:00.0000000000,888010
10:31:30.0000000000,888915
10:32:00.0000000000,889780
10:32:30.0000000000,891165
10:33:00.0000000000,890740
10:33:30.0000000000,889535
10:34:00.0000000000,888310
10:34:30.0000000000,888000
10:35:00.0000000000,887955
10:35:30.0000000000,888040
10:36:00.0000000000,888480
10:36:30.0000000000,888665
10:37:00.0000000000,889015
10:37:30.0000000000,889130
10:38:00.0000000000,889455
10:38:30.0000000000,891225
10:39:00.0000000000,890970
10:39:30.0000000000,891810
10:40:00.0000000000,892205
10:40:30.0000000000,893085
10:41:00.0000000000,894195
10:41:30.0000000000,892720
10:42:00.0000000000,891640
10:42:30.0000000000,890635
10:43:00.0000000000,890160
10:43:30.0000000000,889615
10:44:00.0000000000,889520
10:44:30.0000000000,888345
10:45:00.0000000000,887900
10:45:30.0000000000,886530
10:46:00.0000000000,885950
10:46:30.0000000000,884535
10:47:00.0000000000,885350
10:47:30.0000000000,886520
10:48:00.0000000000,887600
10:48:30.0000000000,886985
10:49:00.0000000000,886645
10:49:30.0000000000,886765
10:50:00.0000000000,886585
10:50:30.0000000000,886075
10:51:00.0000000000,885505
10:51:30.0000000000,886370
10:52:00.0000000000,886990
10:52:30.0000000000,886490
10:53:00.0000000000,885070
10:53:30.0000000000,884625
10:54:00.0000000000,885310
10:54:30.0000000000,885215
10:55:00.0000000000,884340
10:55:30.0000000000,884315
10:56:00.0000000000,884905
10:56:30.0000000000,884180
10:57:00.0000000000,883505
10:57:30.0000000000,881620
10:58:00.0000000000,882655
10:58:30.0000000000,884335
10:59:00.0000000000,884550
10:59:30.0000000000,884200
11:00:00.0000000000,884095
11:00:30.0000000000,883025
11:01:00.0000000000,882445
11:01:30.0000000000,882830
11:02:00.0000000000,883425
11:02:30.0000000000,883805
11:03:00.0000000000,883045
11:03:30.0000000000,881165
11:04:00.0000000000,881510
11:04:30.0000000000,881570
11:05:00.0000000000,881560
11:05:30.0000000000,880980
11:06:00.0000000000,882045
11:06:30.0000000000,881970
11:07:00.0000000000,881610
11:07:30.0000000000,881210
11:08:00.0000000000,880080
11:08:30.0000000000,880520
11:09:00.0000000000,880565
11:09:30.0000000000,881005
11:10:00.0000000000,879525
11:10:30.0000000000,879945
11:11:00.0000000000,880140
11:11:30.0000000000,879495
11:12:00.0000000000,880665
11:12:30.0000000000,880025
11:13:00.0000000000,879305
11:13:30.0000000000,878430
11:14:00.0000000000,879170
11:14:30.0000000000,878750
11:15:00.0000000000,879290
11:15:30.0000000000,881535
11:16:00.0000000000,882240
11:16:30.0000000000,881530
11:17:00.0000000000,882590
11:17:30.0000000000,882405
11:18:00.0000000000,881715
11:18:30.0000000000,882620
11:19:00.0000000000,881870
11:19:30.0000000000,882220
11:20:00.0000000000,882630
11:20:30.0000000000,881985
11:21:00.0000000000,882950
11:21:30.0000000000,883530
11:22:00.0000000000,884865
11:22:30.0000000000,883405
11:23:00.0000000000,882990
11:23:30.0000000000,883320
