time,price
09:15:30.0000000000,1.19572e+06
09:16:00.0000000000,1.19486e+06
09:16:30.0000000000,1.19529e+06
09:17:00.0000000000,1.1965e+06
09:17:30.0000000000,1.19683e+06
09:18:00.0000000000,1.19606e+06
09:18:30.0000000000,1.19587e+06
09:19:00.0000000000,1.19558e+06
09:19:30.0000000000,1.1961e+06
09:20:00.0000000000,1.19666e+06
09:20:30.0000000000,1.19719e+06
09:21:00.0000000000,1.1967e+06
09:21:30.0000000000,1.19652e+06
09:22:00.0000000000,1.1961e+06
09:22:30.0000000000,1.19602e+06
09:23:00.0000000000,1.19578e+06
09:23:30.0000000000,1.1953e+06
09:24:00.0000000000,1.1956e+06
09:24:30.0000000000,1.19536e+06
09:25:00.0000000000,1.19506e+06
09:25:30.0000000000,1.19515e+06
09:26:00.0000000000,1.19522e+06
09:26:30.0000000000,1.19562e+06
09:27:00.0000000000,1.19552e+06
09:27:30.0000000000,1.19533e+06
09:28:00.0000000000,1.19542e+06
09:28:30.0000000000,1.19516e+06
09:29:00.0000000000,1.19562e+06
09:29:30.0000000000,1.19516e+06
09:30:00.0000000000,1.19546e+06
09:30:30.0000000000,1.19518e+06
09:31:00.0000000000,1.1952e+06
09:31:30.0000000000,1.19559e+06
09:32:00.0000000000,1.19582e+06
09:32:30.0000000000,1.19578e+06
09:33:00.0000000000,1.19578e+06
09:33:30.0000000000,1.19602e+06
09:34:00.0000000000,1.19599e+06
09:34:30.0000000000,1.19588e+06
09:35:00.0000000000,1.19597e+06
09:35:30.0000000000,1.19514e+06
09:36:00.0000000000,1.19542e+06
09:36:30.0000000000,1.19569e+06
09:37:00.0000000000,1.19537e+06
09:37:30.0000000000,1.19531e+06
09:38:00.0000000000,1.19517e+06
09:38:30.0000000000,1.19528e+06
09:39:00.0000000000,1.1954e+06
09:39:30.0000000000,1.19562e+06
09:40:00.0000000000,1.19616e+06
09:40:30.0000000000,1.19647e+06
09:41:00.0000000000,1.19617e+06
09:41:30.0000000000,1.19568e+06
09:42:00.0000000000,1.19512e+06
09:42:30.0000000000,1.19558e+06
09:43:00.0000000000,1.19527e+06
09:43:30.0000000000,1.19468e+06
09:44:00.0000000000,1.19457e+06
09:44:30.0000000000,1.19454e+06
09:45:00.0000000000,1.19485e+06
09:45:30.0000000000,1.19486e+06
09:46:00.0000000000,1.19438e+06
09:46:30.0000000000,1.19454e+06
09:47:00.0000000000,1.19456e+06
09:47:30.0000000000,1.19488e+06
09:48:00.0000000000,1.19483e+06
09:48:30.0000000000,1.19474e+06
09:49:00.0000000000,1.19417e+06
09:49:30.0000000000,1.19378e+06
09:50:00.0000000000,1.1932e+06
09:50:30.0000000000,1.19344e+06
09:51:00.0000000000,1.19389e+06
09:51:30.0000000000,1.19399e+06
09:52:00.0000000000,1.19424e+06
09:52:30.0000000000,1.19391e+06
09:53:00.0000000000,1.19394e+06
09:53:30.0000000000,1.19416e+06
09:54:00.0000000000,1.19428e+06
09:54:30.0000000000,1.1942e+06
09:55:00.0000000000,1.19424e+06
09:55:30.0000000000,1.19381e+06
09:56:00.0000000000,1.1944e+06
09:56:30.0000000000,1.1945e+06
09:57:00.0000000000,1.19453e+06
09:57:30.0000000000,1.1947e+06
09:58:00.0000000000,1.19458e+06
09:58:30.0000000000,1.19498e+06
09:59:00.0000000000,1.19484e+06
09:59:30.0000000000,1.19454e+06
10:00:00.0000000000,1.19483e+06
10:00:30.0000000000,1.19502e+06
10:01:00.0000000000,1.19529e+06
10:01:30.0000000000,1.19554e+06
10:02:00.0000000000,1.19523e+06
10:02:30.0000000000,1.19524e+06
10:03:00.0000000000,1.19502e+06
10:03:30.0000000000,1.19486e+06
10:04:00.0000000000,1.19488e+06
10:04:30.0000000000,1.19512e+06
10:05:00.0000000000,1.19507e+06
10:05:30.0000000000,1.19544e+06
10:06:00.0000000000,1.19522e+06
10:06:30.0000000000,1.1952e+06
10:07:00.0000000000,1.19538e+06
10:07:30.0000000000,1.19531e+06
10:08:00.0000000000,1.19503e+06
10:08:30.0000000000,1.19507e+06
10:09:00.0000000000,1.19535e+06
10:09:30.0000000000,1.19542e+06
10:10:00.0000000000,1.19522e+06
10:10:30.0000000000,1.19436e+06
10:11:00.0000000000,1.19482e+06
10:11:30.0000000000,1.19522e+06
10:12:00.0000000000,1.19531e+06
10:12:30.0000000000,1.19532e+06
10:13:00.0000000000,1.19579e+06
10:13:30.0000000000,1.19552e+06
10:14:00.0000000000,1.19554e+06
10:14:30.0000000000,1.19528e+06
10:15:00.0000000000,1.1949e+06
10:15:30.0000000000,1.19513e+06
10:16:00.0000000000,1.19492e+06
10:16:30.0000000000,1.1947e+06
10:17:00.0000000000,1.19462e+06
10:17:30.0000000000,1.19462e+06
10:18:00.0000000000,1.19466e+06
10:18:30.0000000000,1.19436e+06
10:19:00.0000000000,1.19438e+06
10:19:30.0000000000,1.19466e+06
10:20:00.0000000000,1.1945e+06
10:20:30.0000000000,1.19454e+06
10:21:00.0000000000,1.19478e+06
10:21:30.0000000000,1.19514e+06
10:22:00.0000000000,1.19495e+06
10:22:30.0000000000,1.19523e+06
10:23:00.0000000000,1.19538e+06
10:23:30.0000000000,1.19496e+06
10:24:00.0000000000,1.19476e+06
10:24:30.0000000000,1.19486e+06
10:25:00.0000000000,1.19504e+06
10:25:30.0000000000,1.19502e+06
10:26:00.0000000000,1.1952e+06
10:26:30.0000000000,1.19496e+06
10:27:00.0000000000,1.19489e+06
10:27:30.0000000000,1.1946e+06
10:28:00.0000000000,1.19458e+06
