timestamp,spot,oi_C_0.000000,oi_C_0.100000,oi_C_0.200000,oi_C_0.300000,oi_C_0.400000,oi_C_0.500000,oi_C_0.600000,oi_C_0.700000,oi_C_0.800000,oi_C_0.900000,oi_P_0.000000,oi_P_0.100000,oi_P_0.200000,oi_P_0.300000,oi_P_0.400000,oi_P_0.500000,oi_P_0.600000,oi_P_0.700000,oi_P_0.800000,oi_P_0.900000,ntp_C_0.000000,ntp_C_0.100000,ntp_C_0.200000,ntp_C_0.300000,ntp_C_0.400000,ntp_C_0.500000,ntp_C_0.600000,ntp_C_0.700000,ntp_C_0.800000,ntp_C_0.900000,ntp_P_0.000000,ntp_P_0.100000,ntp_P_0.200000,ntp_P_0.300000,ntp_P_0.400000,ntp_P_0.500000,ntp_P_0.600000,ntp_P_0.700000,ntp_P_0.800000,ntp_P_0.900000,volume_C_0.000000,volume_C_0.100000,volume_C_0.200000,volume_C_0.300000,volume_C_0.400000,volume_C_0.500000,volume_C_0.600000,volume_C_0.700000,volume_C_0.800000,volume_C_0.900000,volume_P_0.000000,volume_P_0.100000,volume_P_0.200000,volume_P_0.300000,volume_P_0.400000,volume_P_0.500000,volume_P_0.600000,volume_P_0.700000,volume_P_0.800000,volume_P_0.900000
09:20:00.0000000000,3514301.2760,3404150.0000,2241275.0000,1813425.0000,408825.0000,1129675.0000,2199025.0000,547775.0000,224700.0000,536425.0000,15225.0000,3129400.0000,1870350.0000,860100.0000,350150.0000,1292900.0000,113025.0000,135550.0000,193250.0000,24825.0000,88150.0000,1964351125,6016162000,15920412500,14809830750,33304068625,85967862750,26381868500,12802900250,3404442250,242631000,4307721125,7930300000,9294474125,10150150750,10974976625,10974976625,5161362750,6104361625,600669750,1626981750,1031175,1309000,1465100,513450,1582300,3012000,686225,178475,100775,550,1961100,1737750,885450,350950,1788425,268650,136300,127300,4000,17500
09:25:00.0000000000,3516639.3005,3632375.0000,1904175.0000,860700.0000,1859850.0000,1399725.0000,695600.0000,1880325.0000,429025.0000,478125.0000,68775.0000,3216450.0000,2022325.0000,1041550.0000,1702675.0000,465325.0000,439475.0000,124025.0000,213775.0000,32875.0000,86650.0000,1670536750,3630620500,9404111125,7692787875,28620132500,39299101250,24403598750,12691346500,4776638125,213487500,3301179000,7378737375,7707833375,15907798875,16677139125,16677139125,8782334000,4960945750,376917125,869726125,2080875,1669900,1261150,2596125,2945525,1791400,3489800,743175,158375,8875,3489850,3078000,1633800,2730000,1111375,982900,265075,238925,9550,26350
09:30:00.0000000000,3523993.2181,3493650.0000,1639250.0000,1142925.0000,1406275.0000,1164325.0000,1425125.0000,1803975.0000,310750.0000,526475.0000,63375.0000,3331150.0000,2097225.0000,1586025.0000,1350000.0000,1084350.0000,424275.0000,218675.0000,43125.0000,85750.0000,27100.0000,3176820500,7527561125,12112351375,18763691500,30270151125,60907028625,67010243625,16590898000,9313153750,469535750,4483521625,9640506625,10556854125,16987465875,13622517625,13622517625,12273611125,2203462125,1491221875,676566500,3600925,2704750,3101600,2710625,3471450,5885325,5185450,929425,386650,9725,5545200,4849650,3637825,2914625,3085750,1036900,398250,42925,51450,4550
09:35:00.0000000000,3524488.3270,3513675.0000,2098875.0000,725725.0000,1402900.0000,1237450.0000,1372375.0000,1398525.0000,613175.0000,502000.0000,76600.0000,3404950.0000,2102650.0000,1623000.0000,1369150.0000,1273750.0000,486475.0000,247050.0000,48700.0000,94950.0000,25775.0000,1702294125,4580546125,5963848625,13573032625,28648397875,43665567750,53180542750,16271856875,6657151625,1002885625,3005453250,6672912000,8064884250,17390289125,17061634750,17061634750,9607596750,1184174500,1355792125,186326500,4578000,4566450,2889700,3516375,4831675,7602500,5154350,2346800,464650,20600,6815575,6048975,4534350,3777350,4219975,1663800,608750,74950,72075,4825
09:40:00.0000000000,3521486.0611,3585625.0000,1963725.0000,780125.0000,1987650.0000,863700.0000,1411150.0000,1588250.0000,276250.0000,478175.0000,76025.0000,3402700.0000,2109575.0000,1166450.0000,1741875.0000,1368825.0000,393675.0000,487225.0000,50850.0000,91675.0000,28350.0000,1892562750,4318679250,4439311625,13944628625,17241077125,31010241875,30488576375,8664277125,4142833250,343318125,2033133750,5128629875,6531404875,18672017125,18578406625,18578406625,14745134875,2460822750,895496750,450576125,6392450,4887225,3385450,6402200,3633600,8795900,7192975,1244425,520600,25150,7664475,6956425,3907550,6283275,5688025,1527075,1715400,103400,84975,7150
09:45:00.0000000000,3524156.1610,3647150.0000,2003825.0000,822850.0000,1430975.0000,1519900.0000,1456350.0000,1237975.0000,555225.0000,472625.0000,75675.0000,3419875.0000,2137975.0000,1657275.0000,1409325.0000,1518900.0000,656200.0000,281300.0000,50150.0000,92700.0000,26200.0000,1142691000,2110223250,2264965250,6673746500,10904003375,18645211875,19804082750,4357051125,2121946375,78815375,1344178000,2744514000,3881018000,11992813625,8765002875,8765002875,6362337375,802340375,256929500,817685375,7175875,5365425,3636900,4466350,6481825,9516175,6264125,2756675,548525,26225,8256800,7449525,5897900,5452150,6521300,2738600,927375,114500,95800,7800
09:50:00.0000000000,3522679.0146,3590875.0000,2035800.0000,840975.0000,2040800.0000,953625.0000,1470875.0000,1527050.0000,266700.0000,469025.0000,75100.0000,3414200.0000,2151075.0000,1234375.0000,1883150.0000,1591750.0000,449425.0000,508500.0000,51625.0000,89700.0000,28850.0000,894756625,1556227000,1697008500,4917005875,6016654375,12289279625,12127690375,2206169875,1509096500,79701625,1080063000,2202006625,2249425250,6134111125,4539638000,4539638000,4006585000,397381125,441644375,53093375,7785150,5712850,3821525,7247300,4325300,9948775,8021625,1349025,567775,26875,8776750,7846225,4490500,7490725,7033825,1923625,2006975,122550,100125,9925
09:55:00.0000000000,3524070.0210,3626225.0000,2069050.0000,853625.0000,1451675.0000,1572400.0000,1478350.0000,1215675.0000,540675.0000,469325.0000,74275.0000,3383250.0000,2216625.0000,1700750.0000,1467275.0000,1678700.0000,713675.0000,284900.0000,52325.0000,90025.0000,28800.0000,473176000,1279564375,1596900250,3684630500,6797893500,11233343875,12165643875,3188882250,2246752375,206929125,1242385375,2484126750,2417726125,6552865500,5143241375,5143241375,3738944000,383467375,234043875,114356750,8057600,6003750,4000775,4883250,7272925,10341250,6832300,2907850,595325,28700,9322725,8296600,6481300,6179600,7522925,3160900,1049100,130775,103825,10425
10:00:00.0000000000,3524378.4577,3677450.0000,2117875.0000,884375.0000,1461525.0000,1584375.0000,1474475.0000,1163825.0000,533475.0000,463650.0000,74325.0000,3399125.0000,2222600.0000,1706350.0000,1430175.0000,1755850.0000,752975.0000,287800.0000,54900.0000,91750.0000,28725.0000,514326875,1094845125,1525096500,2924766375,7310124250,11242036875,11564169125,3053220750,1711204500,65371375,678322125,1518160000,3090321625,5190515625,5154962875,5154962875,2317753375,308166250,576333750,50414875,8347725,6250600,4169425,5049775,7665550,10730250,7117800,2972450,616675,29225,9629775,8572975,6792425,6520100,7903750,3354350,1097400,137200,111500,10850
10:05:00.0000000000,3521074.5571,3690275.0000,2136400.0000,892175.0000,2073275.0000,989425.0000,1492225.0000,1426725.0000,321500.0000,401450.0000,60525.0000,3426125.0000,2238525.0000,1261950.0000,1889850.0000,1801300.0000,511400.0000,542850.0000,37725.0000,42925.0000,97200.0000,633929750,1913416000,2570353375,5320519750,11555718625,18008560000,15366682875,4731471500,1746834125,122575000,965237875,2241584375,3663351375,9949088125,9249374125,9249374125,6587230500,950569750,416535750,614757625,8753100,6686675,4445775,8326325,5314200,11407000,9040050,1667775,457875,19450,10068175,8980725,5253575,8946700,8725150,2519800,2444925,115775,76375,101650
