timestamp,spot,oi_C_0.000000,oi_C_0.100000,oi_C_0.200000,oi_C_0.300000,oi_C_0.400000,oi_C_0.500000,oi_C_0.600000,oi_C_0.700000,oi_C_0.800000,oi_C_0.900000,oi_P_0.000000,oi_P_0.100000,oi_P_0.200000,oi_P_0.300000,oi_P_0.400000,oi_P_0.500000,oi_P_0.600000,oi_P_0.700000,oi_P_0.800000,oi_P_0.900000,ntp_C_0.000000,ntp_C_0.100000,ntp_C_0.200000,ntp_C_0.300000,ntp_C_0.400000,ntp_C_0.500000,ntp_C_0.600000,ntp_C_0.700000,ntp_C_0.800000,ntp_C_0.900000,ntp_P_0.000000,ntp_P_0.100000,ntp_P_0.200000,ntp_P_0.300000,ntp_P_0.400000,ntp_P_0.500000,ntp_P_0.600000,ntp_P_0.700000,ntp_P_0.800000,ntp_P_0.900000,volume_C_0.000000,volume_C_0.100000,volume_C_0.200000,volume_C_0.300000,volume_C_0.400000,volume_C_0.500000,volume_C_0.600000,volume_C_0.700000,volume_C_0.800000,volume_C_0.900000,volume_P_0.000000,volume_P_0.100000,volume_P_0.200000,volume_P_0.300000,volume_P_0.400000,volume_P_0.500000,volume_P_0.600000,volume_P_0.700000,volume_P_0.800000,volume_P_0.900000
09:20:00.0000000000,2878176.2575,4227220.0000,663700.0000,722120.0000,211500.0000,244380.0000,134480.0000,108200.0000,212740.0000,59800.0000,65620.0000,2106400.0000,363340.0000,455760.0000,143760.0000,105320.0000,72740.0000,47880.0000,197640.0000,78080.0000,480160.0000,1877458000,4187861700,4866827900,13171108400,11355692400,10259759400,8242531000,8186214600,4043432800,1219922100,2346793000,5599784100,5924116500,1999109800,5618593500,5618593500,7253701200,2687753300,1254560000,3263613900,3489460,1645400,1429180,813000,567520,280880,181360,120020,67480,12960,2977400,1237240,1442720,870960,274360,311580,297500,344200,61900,68700
09:25:00.0000000000,2870566.3355,5411160.0000,378580.0000,1367340.0000,339960.0000,0.0000,162460.0000,127560.0000,217840.0000,67080.0000,63100.0000,2773240.0000,568780.0000,635600.0000,264080.0000,215860.0000,0.0000,181920.0000,332620.0000,86600.0000,536140.0000,2242477500,4227164000,9032689900,6782386600,7587287600,5845183300,3325240700,4162233000,969508900,1005048400,1779576000,3758268300,5662194600,5175870800,8549450700,8549450700,6866056500,7635551000,2206426500,4074254400,8835560,1353580,4455300,1190680,0,608460,319460,250280,91740,27460,5255720,2639140,2468860,1499320,831500,0,849500,1177160,145960,91640
09:30:00.0000000000,2865879.3040,5607580.0000,1643700.0000,436460.0000,430920.0000,218380.0000,152420.0000,227160.0000,46040.0000,35560.0000,50120.0000,2866000.0000,636040.0000,300900.0000,654420.0000,288580.0000,257880.0000,197780.0000,99540.0000,261200.0000,580740.0000,1986524300,4135303300,5812637600,5611966800,3476359100,3763124600,3134262600,1733963900,597700900,477632300,1522315900,2842678400,4693324300,6929047500,6428508800,6428508800,8082019100,8188638800,4045389900,1381999800,11786180,6070840,2197800,1806360,960400,524020,364340,90500,42280,28900,6029380,3600460,1715220,3457300,2164820,1375800,1228500,769420,892780,143340
09:35:00.0000000000,2875144.6454,5781020.0000,480020.0000,1293340.0000,538600.0000,452900.0000,248960.0000,184660.0000,236020.0000,65940.0000,68640.0000,3337920.0000,692860.0000,672860.0000,304920.0000,264060.0000,194260.0000,92600.0000,214640.0000,85700.0000,542540.0000,1779626200,3696987700,6226975600,6009880300,5831850500,6257869600,4567229700,2711798700,646535000,639568600,1480688700,3232959700,4519409200,8386927000,7193831400,7193831400,6383163600,5657607800,3878622500,2255787700,14415140,2623620,5418580,2991620,2593160,1435660,821940,530340,152680,49840,9782740,5046620,4466920,2911960,1913860,1557060,919500,892080,219040,124580
09:40:00.0000000000,2872743.1777,5985380.0000,531600.0000,1369800.0000,568680.0000,473300.0000,254100.0000,172620.0000,231480.0000,68440.0000,68460.0000,3602000.0000,829120.0000,801060.0000,364640.0000,328500.0000,226880.0000,93860.0000,215600.0000,45740.0000,578860.0000,953511400,982617300,3917770500,3044323300,4798970900,3733249000,2465212500,2521755600,432181500,296924700,853898800,1916990700,3702187200,3762797600,3888506700,3888506700,1894291300,2747581900,785007500,558248500,15898460,3009640,6284820,3408460,3022100,1666720,933080,617060,164940,53560,10962400,5744400,5135940,3354740,2235440,1780900,1000000,981260,184740,185580
09:45:00.0000000000,2870029.6312,6211640.0000,2067620.0000,625780.0000,511240.0000,0.0000,275200.0000,180280.0000,228160.0000,68140.0000,68200.0000,3790280.0000,901020.0000,867640.0000,393620.0000,367920.0000,0.0000,239160.0000,93740.0000,269360.0000,576760.0000,934930600,3146859200,2552588600,3256268400,1909433900,2386997700,2009698000,1740218300,145342400,219566700,909085400,1643756700,3854707900,3115029800,2013275200,2013275200,3079900000,2523051300,2449627800,872557400,17685860,10469680,3774480,3440020,0,1897240,1037320,686040,173300,57140,12017120,6382740,5708160,3714800,2504360,0,1956840,1081840,1258360,196280
09:50:00.0000000000,2870724.1276,6244580.0000,2151120.0000,622040.0000,533600.0000,0.0000,294040.0000,184960.0000,228760.0000,46220.0000,87240.0000,3848240.0000,943340.0000,876480.0000,396380.0000,385820.0000,0.0000,238680.0000,316100.0000,82560.0000,540740.0000,741438500,3314241700,2105373900,2876317300,1540749000,2164279200,1383408200,1385011800,316368800,213465700,839681700,1395379100,3080129200,2361141900,1863190300,1863190300,2576022900,2477005600,2064575000,632216000,19092980,11785540,4127900,3807580,0,2116040,1114860,743860,140660,104800,12973280,6936800,6213080,4003640,2735420,0,2100140,2296880,266500,142040
09:55:00.0000000000,2862910.2832,6976400.0000,1720300.0000,674140.0000,593600.0000,326280.0000,197300.0000,224200.0000,48260.0000,19400.0000,69360.0000,3403140.0000,854640.0000,497080.0000,816260.0000,382740.0000,390060.0000,228400.0000,95160.0000,332440.0000,499600.0000,1792985200,5013877000,4355261600,4777061100,4454965500,3710584900,2990899600,1521135400,561673100,674612900,1744095000,3269712000,4926559900,10242864200,10583296800,10583296800,7505284400,4714801100,6789807000,1702996300,26188120,9511920,5047900,4608700,2724580,1407860,891260,178840,56280,73160,12054240,7722380,3860900,7443140,4800880,3333700,2385780,1302200,1609280,123220
10:00:00.0000000000,2862121.6998,7018400.0000,2655460.0000,646400.0000,0.0000,381820.0000,284680.0000,238660.0000,50000.0000,23980.0000,70920.0000,3452860.0000,922580.0000,468260.0000,816160.0000,348500.0000,317600.0000,211840.0000,78420.0000,325900.0000,498580.0000,1349538000,3786190200,3479820400,3222261800,3366420200,2653748300,1843993600,615737300,413690700,265306200,1342466800,2869529700,3565240300,6542414800,7416561300,7416561300,7222861600,6332909300,5016425900,655288400,28438860,16468000,5300620,0,3222120,1726160,1046460,206160,69220,78660,13707340,8828540,4480240,8311180,5342740,3693660,2612000,1379780,1713780,128100
10:05:00.0000000000,2861187.7951,7033540.0000,2772940.0000,681620.0000,401640.0000,0.0000,305580.0000,242520.0000,49420.0000,25200.0000,70540.0000,3495620.0000,447700.0000,944520.0000,825660.0000,347600.0000,330660.0000,204000.0000,77940.0000,321360.0000,498200.0000,615709700,2533159300,2024910100,2220166000,1230715500,2141691400,1876327500,744956700,246556800,194044100,903743000,1184493800,2725105900,4689982100,4359117000,4359117000,4288862100,1718374900,2377046000,294506700,29683200,17658140,5705760,3517920,0,1951880,1149680,237200,76140,82360,14765020,4268960,9975900,8859400,5657380,3913480,2723960,1417060,1765420,130460
10:10:00.0000000000,2862854.2487,7101620.0000,3014680.0000,742900.0000,0.0000,423520.0000,333680.0000,259880.0000,58440.0000,27660.0000,72400.0000,3607320.0000,981140.0000,507780.0000,854220.0000,391400.0000,328900.0000,208400.0000,78260.0000,354940.0000,462140.0000,561043800,2114545100,2050778000,1585937400,2211693000,2347453100,1981019300,862090200,337780600,350015200,826641100,1489947900,2685874200,4169012500,4360368500,4360368500,3536616000,1975941800,2770038600,2773126300,31095840,18671780,6124280,0,3833080,2166940,1255560,276740,82540,88440,15671940,9983380,5238040,9329500,5962920,4135180,2822580,1467960,1840020,144920
10:15:00.0000000000,2860737.9469,7177080.0000,3109880.0000,775800.0000,467660.0000,0.0000,316740.0000,287760.0000,60840.0000,28520.0000,74020.0000,3676060.0000,486780.0000,1048260.0000,857360.0000,406500.0000,332840.0000,207260.0000,86480.0000,286820.0000,529020.0000,431649700,1847123400,1492142500,1140349300,973114800,2142120400,1761221700,576080700,65457400,313412800,539864900,1109886700,1712064100,2880743900,2448849000,2448849000,1316727200,832919400,1351991600,432164200,32094740,19508880,6392920,4067940,0,2327300,1349500,299280,84520,94120,16245060,4740000,11122520,9624800,6152560,4260740,2870600,1492480,1810800,208520
10:20:00.0000000000,2856599.1042,9428040.0000,937700.0000,806080.0000,495160.0000,337060.0000,294920.0000,0.0000,64060.0000,45700.0000,56760.0000,3662720.0000,475600.0000,523640.0000,523400.0000,872340.0000,401620.0000,341400.0000,208380.0000,288120.0000,611100.0000,1401073900,1523569000,2416340000,3117019700,3139684600,2237043800,1178589000,535411500,221394000,291522600,741006800,1139912800,2026488400,3034077600,5702971400,5702971400,5971565100,3566267800,4989644800,1069339200,46936740,7334640,6946500,4497200,2623660,1524680,0,340320,125920,68320,17221880,5045280,5970740,5893280,10200200,6510580,4532260,2982480,3070760,578240
10:25:00.0000000000,2862893.6790,7198180.0000,3259360.0000,817360.0000,0.0000,524640.0000,353600.0000,331040.0000,72100.0000,30160.0000,74960.0000,3701100.0000,1034100.0000,509380.0000,900060.0000,395380.0000,340140.0000,196420.0000,74060.0000,252120.0000,563200.0000,869963400,1210071500,1737553500,2186823400,1495144200,1559216300,1750904300,770019300,121382500,188167200,802089100,1091858500,1956720800,2981873800,3527949200,3527949200,2509664000,1570734100,2186709800,438424800,34297300,21826080,7307820,0,4795740,2819840,1648260,372120,97040,104420,18185000,11524040,6152800,10602500,6759580,4706280,3043680,1572240,1826600,324760
10:30:00.0000000000,2867676.2740,7323740.0000,2273520.0000,954300.0000,788840.0000,478280.0000,300580.0000,0.0000,321620.0000,91280.0000,73720.0000,4398340.0000,578280.0000,1467900.0000,0.0000,439020.0000,334220.0000,204860.0000,73440.0000,204820.0000,608220.0000,1058128600,2880117400,2579708500,5335727400,7005292500,3916373200,3997910200,3663770300,1293585800,555457400,1268235400,2065902500,4050591900,4739600200,5528358300,5528358300,3499335000,2054184300,2817103300,1139161800,36310380,15394020,8366380,8114360,5427740,3195800,0,1851520,537720,112440,25287160,6731600,18051820,0,7224200,5075540,3210680,1645320,1632900,609240
10:35:00.0000000000,2864086.7483,7368820.0000,2294800.0000,957600.0000,796660.0000,476660.0000,304500.0000,323060.0000,61440.0000,28000.0000,72580.0000,3873860.0000,1107400.0000,536100.0000,941680.0000,452160.0000,332760.0000,205600.0000,76880.0000,255180.0000,560980.0000,801027100,3032452500,2627377000,3417498600,4871949500,4741581800,3513252800,1686146100,538884900,228326100,969309900,2291968100,2652917100,5668032600,4902425800,4902425800,3389376300,2876010700,3380156500,1485597700,37915260,16543920,8971460,8757440,5996860,3519920,2034440,485880,116360,118380,20710560,13352060,7217500,12052100,7698960,5408320,3374700,1726800,1986340,342420
10:40:00.0000000000,2866995.4609,7438800.0000,2329420.0000,975800.0000,800160.0000,483700.0000,305280.0000,0.0000,322480.0000,63920.0000,98460.0000,3905620.0000,1162580.0000,559860.0000,955880.0000,459880.0000,323820.0000,211160.0000,76980.0000,327860.0000,487140.0000,623796300,2020473100,1756868100,2254031700,3788132800,3168840300,1871668800,1504858800,579603600,302898300,602252500,1848071900,1674233100,3710209900,3371912800,3371912800,2327383900,1862317100,2293482000,1230837600,39180700,17332840,9456420,9194440,6385460,3733500,0,2157340,522940,246200,21398540,14083260,7547400,12521400,8043360,5624180,3495500,1776320,2213460,184640
10:45:00.0000000000,2879269.3665,6416220.0000,911760.0000,2174260.0000,921420.0000,714180.0000,0.0000,456300.0000,284980.0000,318020.0000,159660.0000,5268940.0000,596340.0000,1520220.0000,344980.0000,0.0000,222200.0000,80740.0000,216640.0000,84360.0000,521800.0000,1199883700,3275260000,4128795500,4050126900,7199517600,3913013800,6972546300,5767599000,4035043400,1426807900,1847198600,2514667900,4913732100,4653356400,4460133300,4460133300,2833214500,3013455100,1264278100,683626600,32296940,9458440,18829820,10096380,10015420,0,7068040,4070640,2361240,841880,38075460,8183440,21952300,6027780,0,3745340,1853840,1846040,425900,246540
10:50:00.0000000000,2897319.3165,4188100.0000,1085880.0000,1083280.0000,844840.0000,1882520.0000,725060.0000,0.0000,575060.0000,592000.0000,453840.0000,5920180.0000,1632820.0000,381960.0000,265000.0000,113020.0000,224180.0000,47820.0000,37040.0000,247300.0000,272800.0000,1764899800,5426515300,7112737800,11674070400,18248540300,15970863800,14281057400,19326683600,15619136300,10778869500,3003966200,7127906000,6732994800,6823050400,6856912600,6856912600,3305797800,2028600600,1344137800,922588500,16741600,8278640,12261540,11246900,21768660,11707100,0,11232660,12452720,3571580,50791520,24431380,6948460,4514880,2247760,2225480,348280,144480,221060,47980
10:55:00.0000000000,2895452.9617,4231100.0000,1920260.0000,638720.0000,0.0000,1374180.0000,495680.0000,0.0000,380560.0000,432520.0000,423120.0000,5944080.0000,1830500.0000,415920.0000,385960.0000,262480.0000,392580.0000,59360.0000,39860.0000,66540.0000,453280.0000,1341513400,3083439000,4524291100,5219402800,16085478300,7965820100,9223757600,13029467300,12939192800,10432054100,2626314200,5466392100,5080457700,4657433000,7824617800,7824617800,1882983900,1073169300,857526100,293766700,19171460,23053160,12202180,0,23607420,12476340,0,11773120,12947400,3741820,53921100,26388480,7726540,5191180,2799120,2833300,448180,183240,95480,195360
11:00:00.0000000000,2892178.5620,5501900.0000,985260.0000,695980.0000,1409980.0000,0.0000,491960.0000,348260.0000,225480.0000,433740.0000,133240.0000,6064460.0000,1949560.0000,446320.0000,430560.0000,302980.0000,0.0000,421740.0000,62960.0000,76880.0000,487340.0000,1003272400,1942962100,2357232500,4744514100,2647419800,4816566900,4484118600,5021798400,4917192900,1851388600,1732320300,3579435100,2259813500,3424891300,1700457400,1700457400,3672271400,1257773400,699463700,665215200,30127340,14611900,12741120,24515140,0,12843480,12008280,8492060,7516380,1018780,55951260,27648200,8161620,5637220,3068780,0,3163740,505280,280960,228080
11:05:00.0000000000,2898419.0085,4537060.0000,2089260.0000,0.0000,698860.0000,1345820.0000,0.0000,466880.0000,332900.0000,223700.0000,559960.0000,6093960.0000,2048200.0000,990240.0000,331740.0000,0.0000,448900.0000,67340.0000,44680.0000,214900.0000,307000.0000,680996300,2591100700,1597664600,3390466800,10990498600,4024489700,5326372800,6712658300,4499723000,4757925200,1757917900,3476273000,4140235600,3328736500,5171065800,5171065800,1990006500,761294300,693936000,302317300,21613240,26145180,0,13422260,25793080,0,13270900,12301040,8644720,8664500,58129160,29086220,14961420,3499540,0,3588320,615200,235940,268060,52480
11:10:00.0000000000,2897892.5463,4690640.0000,2178080.0000,0.0000,709060.0000,1248220.0000,0.0000,389880.0000,312020.0000,214860.0000,539660.0000,7571240.0000,1213160.0000,581720.0000,381180.0000,0.0000,525640.0000,73540.0000,43400.0000,68800.0000,456880.0000,565686500,1583446300,1894892900,3772016600,4829136500,5624490700,4784069700,3717528400,4309150900,4312134200,2108522200,2827805200,2579557600,2367206600,2760565800,2760565800,1967800000,839047800,624832600,351215300,22773260,27572020,0,14103800,26779240,0,13601860,12500780,8745660,8761660,78390260,21298140,6722240,3861980,0,3995260,732980,271140,122620,215000
11:15:00.0000000000,2895660.7244,5865620.0000,1088560.0000,722400.0000,0.0000,1300620.0000,410580.0000,0.0000,305560.0000,213260.0000,527180.0000,7761520.0000,1277100.0000,634980.0000,0.0000,388180.0000,518480.0000,78340.0000,46080.0000,69200.0000,461660.0000,769321200,1633351900,2028225700,2364216600,5280217300,2532748700,1622799000,2283379700,2874629600,1812177200,1539999800,1429033200,1801672000,1505509900,3151105700,3151105700,1558191100,1133646400,668038500,706719700,35259880,17153780,14713440,0,27698700,13853980,0,12640280,8853620,8816120,80742300,21970760,7093600,0,4167260,4295900,804360,296260,129520,223040
11:20:00.0000000000,2890808.8764,5911080.0000,1136380.0000,762660.0000,1344840.0000,0.0000,415480.0000,305940.0000,212400.0000,150740.0000,375740.0000,6214960.0000,2253980.0000,623980.0000,642520.0000,389900.0000,0.0000,524440.0000,82280.0000,84540.0000,493680.0000,652977900,1125377800,1656223200,2338079900,2313135500,2331295200,1101054500,2032049400,2237258100,1864408500,910696600,1490665900,1476961400,2085005300,2271245600,2271245600,2351900000,1784192100,708083600,326768600,36457420,17783960,15185440,28393020,0,14065240,12772640,8954660,4860540,4009580,63125940,31892100,10051860,7451480,4458600,0,4567960,892300,420960,264580
11:25:00.0000000000,2897479.8416,4734420.0000,2385680.0000,0.0000,783400.0000,1315700.0000,0.0000,406240.0000,300680.0000,216460.0000,515900.0000,7979840.0000,1346460.0000,665780.0000,394820.0000,0.0000,542760.0000,76400.0000,47920.0000,224280.0000,301500.0000,615867200,1068378800,1443661100,1983269300,2774319600,1316543500,1388869100,1927334500,1630700600,2639231600,1153591200,1600320900,1624556000,1481475500,2587685500,2587685500,1285182900,800002200,369303100,881181300,25142860,30829040,0,15598100,29056500,0,14264440,12889960,9031440,8923740,84214740,23257820,7792080,4727200,0,4798860,940720,338760,308780,66400
11:30:00.0000000000,2903626.8275,4773020.0000,1197780.0000,1207820.0000,783460.0000,0.0000,1311760.0000,0.0000,376640.0000,289980.0000,714620.0000,8729900.0000,1404020.0000,0.0000,448380.0000,589340.0000,84880.0000,0.0000,57160.0000,193120.0000,331560.0000,572453300,1607221200,1564986000,3442702900,3497042200,5233471400,3887795200,2622848100,3237961600,6299834900,1899279900,2193885500,2106915400,2974747400,2064617900,2064617900,1858135200,778805800,614277600,921458500,26210840,13066860,19127600,16291600,0,29981020,0,14590720,13066040,18136680,100013740,19231380,0,5185940,5241040,1064940,0,369420,315980,83500
11:35:00.0000000000,2904379.3587,4735080.0000,1177660.0000,1089380.0000,716640.0000,0.0000,1239860.0000,0.0000,327920.0000,264900.0000,655340.0000,8733580.0000,698380.0000,1219000.0000,0.0000,651240.0000,131020.0000,0.0000,103820.0000,187300.0000,299400.0000,1247860000,2273856100,3859824800,1110990100,5971261500,1624313900,13178602600,2359689100,4865834200,19163861400,1971719400,3245301900,2586397800,4057152500,3121516800,3121516800,1090701900,892763800,1008913900,766784800,28448320,14123640,20352960,17208840,0,31190100,0,14915920,13295480,18430620,102961000,11592280,14840800,0,5988960,1325280,0,568020,241080,82400
11:40:00.0000000000,2905184.1873,4935700.0000,1172700.0000,1096520.0000,0.0000,735000.0000,0.0000,1208540.0000,324400.0000,0.0000,896000.0000,8932000.0000,1517600.0000,482740.0000,0.0000,689500.0000,153140.0000,0.0000,106220.0000,268780.0000,218520.0000,428776100,817012000,1807642800,2330035800,851645900,5801864500,857036500,2500809100,2277025700,4025275900,1424349200,1741574100,1508807800,1002490500,1163901000,1163901000,988863800,1041676900,1281359100,553160800,29433380,14704280,21003580,0,17778240,0,31827220,15063940,0,31915080,105017380,21631720,6085260,0,6453720,1472620,0,635840,267500,77900
11:45:00.0000000000,2905178.9654,4969140.0000,1191480.0000,1143060.0000,0.0000,753900.0000,0.0000,1202120.0000,319520.0000,0.0000,884520.0000,8964920.0000,1557380.0000,512780.0000,0.0000,730620.0000,171680.0000,68420.0000,53540.0000,372960.0000,111980.0000,396277400,603724600,1702584600,804770200,1670145500,2387289400,3021675700,1723916200,644915600,4496925400,910300500,1271249000,1199675500,606362000,1332605100,1332605100,326689200,1127927400,273784300,290223200,30280720,15114060,21563420,0,18197460,0,32329860,15172260,0,32066960,106469080,22229120,6364800,0,6796680,1575060,510020,183240,330540,22180
11:50:00.0000000000,2901760.9389,5001880.0000,2346620.0000,0.0000,757160.0000,0.0000,1191280.0000,0.0000,317420.0000,0.0000,879380.0000,8997940.0000,776060.0000,812320.0000,524120.0000,748280.0000,0.0000,176880.0000,121040.0000,268780.0000,216740.0000,354613000,602809000,1287082600,2019059100,397632600,4303815000,962306800,1482491500,332558000,5214744000,937438600,985712900,1401499500,1373184100,1472456000,1472456000,826825200,804662900,842017800,80102900,31077840,37566900,0,18661820,0,32875200,0,15280700,0,32226800,107832640,12700680,10204080,6714640,7215400,0,1705540,742820,279740,86500
