timestamp,spot,oi_C_0.000000,oi_C_0.100000,oi_C_0.200000,oi_C_0.300000,oi_C_0.400000,oi_C_0.500000,oi_C_0.600000,oi_C_0.700000,oi_C_0.800000,oi_C_0.900000,oi_P_0.000000,oi_P_0.100000,oi_P_0.200000,oi_P_0.300000,oi_P_0.400000,oi_P_0.500000,oi_P_0.600000,oi_P_0.700000,oi_P_0.800000,oi_P_0.900000,ntp_C_0.000000,ntp_C_0.100000,ntp_C_0.200000,ntp_C_0.300000,ntp_C_0.400000,ntp_C_0.500000,ntp_C_0.600000,ntp_C_0.700000,ntp_C_0.800000,ntp_C_0.900000,ntp_P_0.000000,ntp_P_0.100000,ntp_P_0.200000,ntp_P_0.300000,ntp_P_0.400000,ntp_P_0.500000,ntp_P_0.600000,ntp_P_0.700000,ntp_P_0.800000,ntp_P_0.900000,volume_C_0.000000,volume_C_0.100000,volume_C_0.200000,volume_C_0.300000,volume_C_0.400000,volume_C_0.500000,volume_C_0.600000,volume_C_0.700000,volume_C_0.800000,volume_C_0.900000,volume_P_0.000000,volume_P_0.100000,volume_P_0.200000,volume_P_0.300000,volume_P_0.400000,volume_P_0.500000,volume_P_0.600000,volume_P_0.700000,volume_P_0.800000,volume_P_0.900000
09:20:00.0000000000,3471306.5297,9434275.0000,3371800.0000,959775.0000,1253950.0000,0.0000,1108975.0000,873975.0000,2030900.0000,424400.0000,321350.0000,8025475.0000,1381225.0000,1733575.0000,533575.0000,541900.0000,0.0000,422950.0000,107250.0000,466475.0000,588475.0000,5609786250,7736686000,10633378375,17446652500,17102363500,26736108625,30817666375,57923524500,24689905750,6269620375,6047671375,5241783250,11795961375,11619923125,10176535500,10176535500,13737759375,6448773500,10490681875,8777729000,6028325,3160800,1446875,2175975,0,2962875,1675100,2349600,457225,76475,7570225,2165675,2541600,1701575,1713400,0,785375,232700,325200,183775
09:25:00.0000000000,3468962.5900,10291700.0000,3794775.0000,1129100.0000,1521050.0000,1326200.0000,0.0000,913900.0000,2014300.0000,375950.0000,360700.0000,9061100.0000,1666400.0000,1936075.0000,847900.0000,0.0000,1012450.0000,613975.0000,165900.0000,455075.0000,672200.0000,4614143750,7070620625,11896215625,14791560750,27710815500,34433482500,29972464500,50898772875,33432031000,8021723750,5749970250,5206418750,10306168500,11637370500,18375596000,18375596000,20286413875,15632199750,20098165500,12991862750,12205950,7098350,3336050,5101625,6272925,0,3373725,4855425,846125,202250,14409750,4356200,5364650,3292325,0,4160575,2233450,690025,872800,480925
09:30:00.0000000000,3464625.0113,10692600.0000,3970375.0000,1193150.0000,1664125.0000,1359025.0000,925150.0000,1612800.0000,378375.0000,427800.0000,308775.0000,8501000.0000,1708075.0000,933325.0000,1893425.0000,880225.0000,1029050.0000,581675.0000,0.0000,592925.0000,652125.0000,2762277375,6862381500,6022929250,11838188125,18066925125,14131647750,18535357625,27014372000,16574323625,4544427000,3144384625,4498023625,9917184500,8873815750,18590568875,18590568875,15033596125,7123365625,17155535750,7606489125,16715125,9864800,4457775,6827200,8452625,4412750,4543825,1728225,1130150,191650,15644800,5531300,3396875,7441750,4607400,6049300,3155025,0,2289750,668125
09:35:00.0000000000,3459259.4239,12461925.0000,4451125.0000,1940225.0000,1896025.0000,1144400.0000,0.0000,1590075.0000,655500.0000,208725.0000,301825.0000,8812250.0000,1806325.0000,1029375.0000,1900175.0000,0.0000,1051200.0000,1102350.0000,563900.0000,608850.0000,637025.0000,3799258375,5708963375,8936471500,12733169125,13882439875,16050992750,20696137875,12610009750,8447570000,2510050250,3687432750,5735396375,7661934875,17118999000,18370053875,18370053875,25926525000,20726735250,24728004750,13426478375,25390000,13713675,8524275,10588900,5678275,0,5596200,3038125,422825,230475,19955300,7570800,4770150,9893600,0,6870500,8184650,4226375,3136550,863325
09:40:00.0000000000,3462458.7422,12698350.0000,3132975.0000,1524450.0000,2023225.0000,2076350.0000,1604600.0000,1693350.0000,680075.0000,404150.0000,114875.0000,9017325.0000,1952025.0000,1157700.0000,1888150.0000,1242175.0000,0.0000,935800.0000,525875.0000,151300.0000,1101875.0000,3149021000,5409936750,7073435500,10420635125,11287742125,17005282000,16961505500,9263613875,4881249250,682922250,2533462375,4186824750,6525270000,15665126500,11708025875,11708025875,23259186125,16567213625,11098352250,15886133250,29288225,9476500,6451925,9617475,11954550,7311300,6567950,3432725,727650,21975,22797175,9079550,5900025,12041825,8764400,0,9512075,4898900,1531475,3130475
09:45:00.0000000000,3461503.9232,12946925.0000,4784900.0000,2109800.0000,2129675.0000,0.0000,1595025.0000,1726850.0000,680325.0000,384200.0000,125275.0000,9455200.0000,2085200.0000,1246400.0000,1997850.0000,1385075.0000,0.0000,977600.0000,512775.0000,160300.0000,1087450.0000,2198310875,3187535250,3387625875,6186029625,11882988125,18056752375,20342376000,8173831250,5392990000,933545750,2323223750,2889448875,3366124625,8340563625,9603580625,9603580625,2249050000,7422497875,5581450750,7195899000,32152150,17802375,10564175,13214600,0,8503375,7506225,3766775,788450,31325,25775325,10284650,6668100,13281600,9822275,0,10231650,5288325,1660775,3351425
09:50:00.0000000000,3467321.2975,12988700.0000,3308700.0000,1556400.0000,2158475.0000,2156825.0000,1616575.0000,0.0000,2169400.0000,381400.0000,355350.0000,10605425.0000,2413825.0000,2047050.0000,1459075.0000,0.0000,996800.0000,533300.0000,165125.0000,463325.0000,622225.0000,1934869000,2872616500,3189846750,6026196250,12042029500,14184785250,14236771000,13202045750,6212638375,2435332125,2451062375,3445417000,5757756375,7085564375,11315702875,11315702875,8644659875,4717011125,7224606250,4010508875,34527225,11808650,7891525,11541600,14423075,9626175,0,11157075,1726550,415750,33861600,13556700,14723075,11067550,0,11112275,5819775,1808175,2504100,1074850
09:55:00.0000000000,3467627.8982,13105750.0000,3307225.0000,1600125.0000,2196750.0000,2241775.0000,0.0000,1565700.0000,1681125.0000,650325.0000,501750.0000,10702600.0000,2446200.0000,2134400.0000,1524450.0000,0.0000,1124400.0000,567450.0000,170725.0000,463375.0000,623425.0000,1415805375,2211097000,2674466875,5342579750,11700085125,9086532000,10373536625,13118428375,5750587875,2214680625,1714628750,2400345125,4216065000,4312202750,9175081625,9175081625,4593237250,3859061000,5115700750,3352916375,36408350,12762450,8530175,12427975,15581700,0,10506925,8999375,4317400,960800,36050350,14583575,15695475,11859925,0,11810100,6177575,1907350,2654675,1110300
10:00:00.0000000000,3464387.7632,13151200.0000,3290550.0000,1653150.0000,2329350.0000,2362950.0000,1567850.0000,1682150.0000,439475.0000,418975.0000,294925.0000,9702275.0000,2232900.0000,1349050.0000,2201575.0000,1571275.0000,1169975.0000,0.0000,560525.0000,182650.0000,1095000.0000,1290786000,1570291500,2159402125,4059288500,7968142375,6679038375,6992684500,6941005000,3176085500,1875412000,1260991125,1455539125,3257444250,3229714375,7190458375,7190458375,3636761250,3271475375,3408651000,3575950125,38306125,13487875,9126825,13096200,16398050,11078950,9417975,3120700,2014675,348875,31774550,12987800,8450050,16498050,12448275,12338925,0,6455700,1989125,3895300
10:05:00.0000000000,3467957.4463,13172975.0000,3303325.0000,1684700.0000,2344050.0000,2393275.0000,0.0000,1600075.0000,2116425.0000,367725.0000,346225.0000,10803900.0000,2542275.0000,2222050.0000,1635550.0000,0.0000,1195400.0000,578725.0000,191950.0000,475775.0000,625475.0000,1600809250,2137381750,3259757250,6926842125,12040278000,6238455250,15292620625,18038371750,9684572875,4453338625,1832659875,2695181625,5292072625,5765161125,9582249500,9582249500,7248975250,3667532375,5763041750,3805066750,40843850,14455025,9986050,14159950,17751875,0,12024500,13629200,2028650,505750,40087525,16540275,17578525,13466850,0,13226275,6883900,2133350,2897400,1219950
