timestamp,spot,oi_C_0.000000,oi_C_0.100000,oi_C_0.200000,oi_C_0.300000,oi_C_0.400000,oi_C_0.500000,oi_C_0.600000,oi_C_0.700000,oi_C_0.800000,oi_C_0.900000,oi_P_0.000000,oi_P_0.100000,oi_P_0.200000,oi_P_0.300000,oi_P_0.400000,oi_P_0.500000,oi_P_0.600000,oi_P_0.700000,oi_P_0.800000,oi_P_0.900000,ntp_C_0.000000,ntp_C_0.100000,ntp_C_0.200000,ntp_C_0.300000,ntp_C_0.400000,ntp_C_0.500000,ntp_C_0.600000,ntp_C_0.700000,ntp_C_0.800000,ntp_C_0.900000,ntp_P_0.000000,ntp_P_0.100000,ntp_P_0.200000,ntp_P_0.300000,ntp_P_0.400000,ntp_P_0.500000,ntp_P_0.600000,ntp_P_0.700000,ntp_P_0.800000,ntp_P_0.900000,volume_C_0.000000,volume_C_0.100000,volume_C_0.200000,volume_C_0.300000,volume_C_0.400000,volume_C_0.500000,volume_C_0.600000,volume_C_0.700000,volume_C_0.800000,volume_C_0.900000,volume_P_0.000000,volume_P_0.100000,volume_P_0.200000,volume_P_0.300000,volume_P_0.400000,volume_P_0.500000,volume_P_0.600000,volume_P_0.700000,volume_P_0.800000,volume_P_0.900000
09:20:00.0000000000,4070019.6721,11500350.0000,3162800.0000,3015775.0000,604600.0000,589250.0000,461300.0000,398425.0000,200100.0000,637375.0000,456500.0000,6485550.0000,1552075.0000,592625.0000,2060850.0000,668150.0000,773600.0000,433550.0000,1260775.0000,286575.0000,1271975.0000,11749045000,14708430000,26519923500,18801015250,25102152500,27547559625,13464170875,4267438250,4522394125,951298125,5700282375,8390195000,12311447750,25973527500,37527581375,37527581375,35931118500,55361250375,22984193625,30236729500,9775600,3258300,4030900,1327300,1404450,1543600,333750,84050,65625,5050,4970775,2378000,949300,3695000,2235450,1877375,1207475,1572675,359150,649075
09:25:00.0000000000,4067210.5664,12442900.0000,4661025.0000,2445825.0000,1770175.0000,973075.0000,410300.0000,592000.0000,247225.0000,562350.0000,556475.0000,7270800.0000,2025500.0000,774575.0000,1658775.0000,823375.0000,994550.0000,731800.0000,1720325.0000,273575.0000,1231175.0000,8682906750,13626913500,18289987500,21107617250,27521352750,21376581750,16512777875,5131074625,3366106125,747226375,4138915000,5977164625,8244233000,21897509125,36335574375,36335574375,32503180625,29985219625,45316977250,29879308375,16589850,8529600,4690375,5117975,2763725,1310525,868050,239525,131900,21650,8424250,4459200,1836475,4554600,3074700,4304600,3261000,4914850,561500,1015000
09:30:00.0000000000,4062893.8934,14590475.0000,3103200.0000,3515125.0000,1053850.0000,1276425.0000,578475.0000,830825.0000,228375.0000,855950.0000,196700.0000,7805550.0000,1529600.0000,1684825.0000,1859900.0000,1045175.0000,1150325.0000,747750.0000,508975.0000,1174525.0000,1471400.0000,5496514000,8042057875,13415628250,11384413125,16154018375,15978041000,12975139875,3872785250,3671511125,477761125,2754164250,3225461500,5838511875,14837433500,22687199250,22687199250,17130268125,19238307625,22830937750,15126419250,24399000,7271675,9348175,3442425,3790125,2028450,1527300,217100,142025,5650,10669200,3425675,4785100,6069350,4346400,5551875,3968625,2738700,3345975,1857050
09:35:00.0000000000,4058405.4967,14826650.0000,5825500.0000,1012200.0000,1116775.0000,2086825.0000,751775.0000,134525.0000,322225.0000,800025.0000,167525.0000,6005050.0000,3604125.0000,842875.0000,960375.0000,1975775.0000,1148025.0000,1211850.0000,763500.0000,523600.0000,2655325.0000,7400290875,11474051750,15071620750,12083956250,25926842750,23339502000,12755517500,5649632375,3481742875,441682250,3047145750,6570422875,8076478375,16217547000,32431454625,32431454625,32830351500,32514903750,35849174875,27795116500,29720075,17460475,4384150,4455850,8191925,2037500,379675,368400,171375,6900,9486825,9180750,3296925,3433900,8352900,6371650,7345550,5028400,3569825,6353825
09:40:00.0000000000,4059086.8606,14927150.0000,3254125.0000,3830250.0000,1210275.0000,2412825.0000,985725.0000,158100.0000,344800.0000,810675.0000,154075.0000,8351250.0000,1593700.0000,854875.0000,981475.0000,2049100.0000,1195725.0000,1165100.0000,670075.0000,485150.0000,2539100.0000,5355942125,10034107250,10520157250,9828462125,20147914875,30555136375,9049250625,5221421375,2774467375,153941250,2424696875,4032331500,6036224250,13868934875,20835156125,20835156125,19337263625,17816587500,21261321375,32069477625,33710300,11343475,14472725,5245025,9972025,3144000,506850,502575,207100,7425,16174225,5775325,3988100,4336125,10324575,7805275,8449325,5705225,4050725,7219450
09:45:00.0000000000,4058289.8919,15011075.0000,6164175.0000,1128750.0000,1255800.0000,2617700.0000,1100100.0000,198350.0000,342675.0000,769400.0000,195850.0000,6259550.0000,3736225.0000,891950.0000,1021100.0000,2074675.0000,1351800.0000,1166150.0000,681625.0000,1641550.0000,1342225.0000,4108379375,6437980875,9604836375,5587247000,11900368500,25842895125,4649524625,3109793375,1733964750,320923250,1904570750,2939850625,4494903625,17101659750,9589496000,9589496000,10509291000,11269756375,19589749000,15452490000,37084900,23053425,5670300,5779425,11372500,3737775,625200,576150,229100,9750,12057150,12238425,4475150,5072375,11759975,9037650,9158150,6133100,9434875,2712550
09:50:00.0000000000,4062350.2403,13120875.0000,5272975.0000,3970175.0000,1327750.0000,1602950.0000,1105000.0000,1367450.0000,273600.0000,580125.0000,473525.0000,8480150.0000,1611700.0000,2046350.0000,2086875.0000,1420125.0000,1183575.0000,692175.0000,480075.0000,1145600.0000,1345675.0000,3478761375,5055406375,7996074125,6631507875,11449853125,23156884625,9820516250,3786257750,3776329875,491491250,1391312250,3338235750,5313579500,16194393750,11935727375,11935727375,10634962250,10783000500,15390786375,11376334125,33047275,20482250,17367725,6381350,7198900,5539075,5145400,630925,284350,52950,19392025,7193575,11037650,13168400,10174400,9822875,6537825,4636225,5377550,2856025
09:55:00.0000000000,4062171.6901,15115950.0000,3383075.0000,3990400.0000,1420825.0000,1672325.0000,1179075.0000,1392525.0000,267700.0000,580500.0000,472575.0000,8658500.0000,1668825.0000,2161000.0000,2118675.0000,1477325.0000,1217450.0000,710925.0000,480700.0000,1132675.0000,1338225.0000,2835115625,2208643500,6044871000,4866284750,7027321000,17984948375,6065109500,2035546750,1143923625,766065750,1306212000,1702254250,4291334625,9613065000,6880805125,6880805125,5736320625,5830783375,6654154625,5380941125,41769300,14327275,18327775,6840925,7683875,6102600,5631150,677775,300175,60025,20606025,7610925,11890700,13892500,10873200,10234250,6767600,4802650,5525075,2937025
10:00:00.0000000000,4047172.6331,17056875.0000,5349225.0000,1450000.0000,2965625.0000,1401400.0000,307325.0000,312550.0000,441675.0000,407325.0000,195650.0000,5125875.0000,3381100.0000,1498000.0000,890725.0000,1028775.0000,1762650.0000,1106125.0000,1522350.0000,385050.0000,2302625.0000,10937711625,18400129875,15001529625,24714822375,34105569625,28040986250,11676454875,8492161125,4543028125,1633115875,3725390125,14321878750,15038082250,21126009750,58374763000,58374763000,47760748250,40919778875,37859658125,59800864375,57287850,29910500,8408775,17077275,6471075,1270425,978525,419625,109300,20050,12833775,14072100,9916775,6879150,8792125,17518600,13570775,19613250,5377075,9435800
10:05:00.0000000000,4041935.6234,16991200.0000,5416600.0000,3221925.0000,1368250.0000,1586875.0000,610450.0000,119400.0000,459475.0000,186800.0000,414525.0000,5259000.0000,3518675.0000,563325.0000,1919950.0000,1015775.0000,1755850.0000,1031350.0000,850300.0000,894700.0000,2256250.0000,8301468750,16021205000,13713134625,19853248250,29791548500,17807681125,8594642250,8150589875,6566031000,4037892000,3403142250,13461519625,12062127625,23307877500,56137775750,56137775750,36763694125,35372472875,36683926875,37776318250,62336250,34206875,20251425,8966125,8249125,2889750,426525,583625,95275,147575,15313375,17461625,5259700,15240025,10723375,20272850,14993050,12751200,14104175,10048750
